№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
3929,Автобус,Остановка,КАНТЕМИРОВСКАЯ УЛ.,КАНТЕМИРОВСКАЯ УЛ.,"Большой Сампсониевский проспект, Белоостровская улица",86,"59.985258493844363,30.3346329"
3930,Автобус,Остановка,"СТ. МЕТРО ""ПАРНАС""","СТ. МЕТРО ""ПАРНАС""","Улица Михаила Дудина, улица Фёдора Абрамова","139, 198, 199, 214Б","60.06798395378835,30.3347721"
3931,Автобус,Остановка,"СТ. МЕТРО ""ПАРНАС""","СТ. МЕТРО ""ПАРНАС""","Улица Михаила Дудина, улица Фёдора Абрамова","139, 198, 199, 271","60.067200087453926,30.3365993"
3932,Автобус,Остановка,ОКТЯБРЬСКАЯ УЛ.,ОКТЯБРЬСКАЯ УЛ.,"Октябрьская улица, улица Ремизова","364, 386","59.741605937526522,30.6178322"
3933,Автобус,Остановка,"ОКТЯБРЬСКАЯ УЛ.,УГ. УЛ. РЕМИЗОВА","ОКТЯБРЬСКАЯ УЛ.,УГ. УЛ. РЕМИЗОВА","Улица Ремизова, Октябрьская улица","364, 366, 386","59.74182964963687,30.6171284"
3934,Автобус,Остановка,"СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","Бухарестская улица, улица Белы Куна",54,"59.870932916868426,30.3799229"
3935,Автобус,Остановка,АННОЛОВО,АННОЛОВО,"Центральная улица, Новая улица",493,"59.634935061133802,30.5396652"
3936,Автобус,Остановка,ДОЛГООЗЁРНАЯ УЛ.,ДОЛГООЗЁРНАЯ УЛ.,"Долгоозёрная улица, Комендантский проспект","202, 85","60.016731059707446,30.250021"
3937,Автобус,Остановка,"КИРОЧНАЯ УЛ., УГ. СУВОРОВСКОГО ПР.","КИРОЧНАЯ УЛ., УГ. СУВОРОВСКОГО ПР.","Кирочная улица, Суворовский проспект","105, 22, 290","59.942608749795596,30.3810329"
3938,Автобус,Остановка,"ШПАЛЕРНАЯ УЛ., УГ. ПОТЁМКИНСКОЙ УЛ.","ШПАЛЕРНАЯ УЛ., УГ. ПОТЁМКИНСКОЙ УЛ.","Потёмкинская улица, Шпалерная улица","136, 169А, 54","59.948598411599775,30.3676834"
3939,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ,ШОССЕ РЕВОЛЮЦИИ,"Среднеохтинский проспект, шоссе Революции","206, 295","59.959658140335677,30.4158821"
3940,Автобус,Остановка,МОСКОВСКИЙ ПР.,МОСКОВСКИЙ ПР.,"Благодатная улица, Яковлевский переулок","12, 225, 36, 95","59.876109414417598,30.3236046"
3941,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА СЕРГИЕВО - ВЫСАДКА,Ж.-Д. ПЛАТФОРМА СЕРГИЕВО - ВЫСАДКА,"Проспект Ленина, Федеративная улица","129, 129А, 461, 462, 488","59.831445053639129,30.0910606"
3942,Автобус,Остановка,"АННИНО, ЦЕНТРАЛЬНАЯ УЛ.","АННИНО, ЦЕНТРАЛЬНАЯ УЛ.","Садовая улица, Центральная улица","442, 442А, 458, 458А, 458Б","59.775833674833521,30.0419083"
3943,Автобус,Остановка,"ВЯЗОВАЯ УЛ., ГРЕБНОЙ КЛУБ ЗНАМЯ","ВЯЗОВАЯ УЛ., ГРЕБНОЙ КЛУБ ЗНАМЯ","Петроградская улица, Вязовая улица","10, 25","59.967955642607578,30.2783699"
3944,Автобус,Остановка,"СЕВЕРНЫЙ ПР., УГ. СВЕТЛАНОВСКОГО ПР.","СЕВЕРНЫЙ ПР., УГ. СВЕТЛАНОВСКОГО ПР.","Северный проспект, Светлановский проспект","176, 270","60.026802372740214,30.3900318"
3945,Автобус,Остановка,"ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б","ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б",Ленинградское шоссе,"104, 247","60.110002576529169,30.3129292"
3946,Автобус,Остановка,САДОВОДСТВО БЕРЁЗКА,САДОВОДСТВО БЕРЁЗКА,"Ленинградское шоссе, 2-й проезд","104, 247","60.11143892019134,30.3398705"
3947,Автобус,Остановка,СВЕТЛАЯ УЛ.,СВЕТЛАЯ УЛ.,"Ленинградское шоссе, Светлая улица","104, 247","60.108940594962824,30.3497009"
3948,Автобус,Остановка,ПОРОШКИНО,ПОРОШКИНО,Ленинградское шоссе,"104, 247","60.105509343550708,30.3574524"
3949,Автобус,Остановка,КРАСНОПУТИЛОВСКАЯ УЛ.,КРАСНОПУТИЛОВСКАЯ УЛ.,"Краснопутиловская улица, площадь Конституции","256, 64","59.850568779991534,30.3077621"
3950,Автобус,Остановка,ЮККИ ПАРК,ЮККИ ПАРК,"Ленинградское шоссе, ул.Малая","148, 247","60.111445727358117,30.3256989"
3951,Автобус,Остановка,САДОВОДСТВО БЕРЁЗКА,САДОВОДСТВО БЕРЁЗКА,"Ленинградское шоссе, 1-й проезд","148, 247","60.111687380867203,30.3392391"
3952,Автобус,Остановка,ЮККИ ПАРК,ЮККИ ПАРК,"Ленинградское шоссе, ул.Никольская","104, 247","60.111377655626981,30.3216343"
3953,Автобус,Остановка,ПОРОШКИНО,ПОРОШКИНО,Ленинградское шоссе,"148, 247","60.105955290282544,30.3572273"
3954,Автобус,Остановка,"ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б","ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б",Ленинградское шоссе,"148, 247","60.110380388635434,30.3117352"
3955,Троллейбус,Остановка,"Ул. Нахимова, 11","Ул. Нахимова, 11","Улица Нахимова, Малый проспект В.О.","11, 9","59.941065834682526,30.2239933"
3956,Трамвай,Остановка,Ново-Никольский мост,Ново-Никольский мост,"Садовая улица, Большая Подьяческая улица",3,"59.921795587693552,30.3045998"
3957,Трамвай,Остановка,Юсуповский сад,Юсуповский сад,"Садовая улица, проспект Римского-Корсакова",3,"59.923753580569489,30.3107414"
4033,Трамвай,Остановка,Сенная пл.,Сенная пл.,"Садовая улица, переулок Бринько",3,"59.925564278842728,30.3149815"
4038,Трамвай,Остановка,Сенная пл.,Сенная пл.,"Садовая улица, переулок Бринько",3,"59.925892863777591,30.3155212"
4043,Трамвай,Остановка,"Пл. Стачек. Ст. Метро ""Нарвская""","Пл. Стачек. Ст. Метро ""Нарвская""","Старо-Петергофский проспект, площадь Стачек",16,"59.901822255456892,30.2747974"
4044,Трамвай,Остановка,Вознесенский пр.,Вознесенский пр.,"Садовая улица, переулок Бойцова",3,"59.923561894061059,30.3099308"
4045,Трамвай,Остановка,Нарвский пр.,Нарвский пр.,"Старо-Петергофский проспект, Нарвский проспект",16,"59.905596639612313,30.276495"
4051,Трамвай,Остановка,Нарвский пр.,Нарвский пр.,"Старо-Петергофский проспект, Нарвский проспект",16,"59.905247304466528,30.2770061"
4052,Трамвай,Остановка,Ново-Никольский мост,Ново-Никольский мост,"Садовая улица, набережная канала Грибоедова",3,"59.921323187497585,30.3016911"
4053,Трамвай,КП,"Пл. Стачек (оборотная, посадки/высадки нет)","Пл. Стачек (оборотная, посадки/высадки нет)","Площадь Стачек, Перекопская улица",16,"59.901342720405623,30.2729588"
4054,Трамвай,Остановка,Лермонтовский пр.,Лермонтовский пр.,"Садовая улица, Лермонтовский проспект",3,"59.919933333431651,30.2956486"
4055,Трамвай,Остановка,"Пл. Стачек. Ст. Метро ""Нарвская""","Пл. Стачек. Ст. Метро ""Нарвская""","Старо-Петергофский проспект, площадь Стачек",16,"59.902342885672915,30.2758312"
4063,Автобус,Остановка,МАРИИНСКИЙ ТЕАТР,МАРИИНСКИЙ ТЕАТР,"Улица Декабристов, улица Глинки","100, 22, 6, 71","59.926567137255546,30.2960587"
4064,Автобус,ДС,"АС ""МОСКОВСКОЕ ШОССЕ, 33""","АС ""МОСКОВСКОЕ ШОССЕ, 33""",Московское шоссе,"116, 243, 286, 342, 36","59.818289187059158,30.3652897"
4065,Автобус,Остановка,УЛ. ГАСТЕЛЛО,УЛ. ГАСТЕЛЛО,"Проспект Юрия Гагарина, улица Гастелло","225, 36","59.858663799680329,30.3374424"
4066,Автобус,Остановка,УЛ. ФРУНЗЕ,УЛ. ФРУНЗЕ,"Проспект Юрия Гагарина, улица Фрунзе","225, 36","59.862048717535629,30.3372517"
4067,Автобус,Остановка,БАССЕЙНАЯ УЛ.,БАССЕЙНАЯ УЛ.,"Проспект Юрия Гагарина, Бассейная улица",225,"59.864541744760544,30.3371334"
4068,Автобус,Остановка,"""СКК""","""СКК""","Проспект Юрия Гагарина, Кузнецовская улица",225,"59.869729522852943,30.336937"
4069,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","Улица Салова, Бухарестская улица",36,"59.88381096228342,30.3664513"
4070,Автобус,Остановка,КУЗНЕЦОВСКАЯ УЛ.,КУЗНЕЦОВСКАЯ УЛ.,"Проспект Юрия Гагарина, Кузнецовская улица",225,"59.87171115704502,30.3363438"
4071,Автобус,Остановка,"""СКК""","""СКК""",Проспект Юрия Гагарина,225,"59.868923807363437,30.3365479"
4075,Автобус,Остановка,УЛ. ГАСТЕЛЛО,УЛ. ГАСТЕЛЛО,"Проспект Юрия Гагарина, улица Гастелло","225, 36","59.858128765944663,30.3370953"
4077,Автобус,Остановка,АВИАЦИОННАЯ УЛ.,АВИАЦИОННАЯ УЛ.,"Проспект Юрия Гагарина, Авиационная улица","225, 36","59.854980123890414,30.3372765"
4078,Автобус,Остановка,УЛ. ТИПАНОВА,УЛ. ТИПАНОВА,"Проспект Юрия Гагарина, улица Типанова","36, 50","59.852170789761715,30.3374329"
4079,Автобус,Остановка,АЛТАЙСКАЯ УЛ.,АЛТАЙСКАЯ УЛ.,"Проспект Юрия Гагарина, Алтайская улица","36, 50","59.849313189520259,30.3376141"
4081,Автобус,Остановка,"ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""","ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""",Таллинское шоссе,"108, 145, 145Б, 165, 195, 20, 245, 345, 481, 482, 482В, 484, 487, 81","59.807367795295384,30.1653709"
4085,Автобус,Остановка,"ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""","ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""",Таллинское шоссе,"108, 145, 145Б, 165, 195, 20, 245, 345, 481, 482, 482В, 484, 487, 81","59.8075395429846,30.1660404"
4086,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР""","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР""","Проспект Просвещения, Гражданский проспект","177, 193, 240","60.035072819536104,30.421114"
4087,Автобус,ДС,"БЕЛООСТРОВСКОЕ ШОССЕ, 1 (ПОСАДКИ И ВЫСАДКИ НЕТ)","БЕЛООСТРОВСКОЕ ШОССЕ, 1 (ПОСАДКИ И ВЫСАДКИ НЕТ)",Белоостровское шоссе,109Б,"60.129309691013127,30.1229267"
4088,Автобус,ДС,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - ПОСАДКИ/ВЫСАДКИ НЕТ","А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - ПОСАДКИ/ВЫСАДКИ НЕТ","Крестовский проспект, Южная дорога","10, 14, 220, 227, 25, 29","59.969015330469745,30.2474079"
4090,Автобус,Остановка,"ЛЕНИНСКИЙ ПР., 72","ЛЕНИНСКИЙ ПР., 72","Ленинский проспект, улица Доблести","2, 226, 239, 2А","59.861019903557526,30.1815891"
4091,Автобус,Остановка,МОРАВСКИЙ ПЕР.,МОРАВСКИЙ ПЕР.,"Малая Карпатская улица, Моравский переулок",96,"59.839740328104796,30.4247398"
5897,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР""","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР""","Гражданский проспект, проспект Просвещения","176, 295","60.036010961415336,30.4212914"
5898,Автобус,Остановка,"ЛЕРМОНТОВСКИЙ ПР., 7","ЛЕРМОНТОВСКИЙ ПР., 7","Лермонтовский проспект, улица Союза Печатников",100,"59.92343866643516,30.2916851"
5902,Автобус,Остановка,"ДОЛГООЗЁРНАЯ, УГОЛ ПР. КОРОЛЁВА","ДОЛГООЗЁРНАЯ, УГОЛ ПР. КОРОЛЁВА","Проспект Королёва, Долгоозёрная улица",85,"60.01893602158794,30.2560234"
5918,Автобус,Остановка,"МОРСКАЯ НАБ., 19","МОРСКАЯ НАБ., 19","Морская набережная, Мичманская улица","100, 158, 220","59.945697785336876,30.2067375"
5919,Автобус,Остановка,"ПАССАЖИРСКИЙ ПОРТ САНКТ-ПЕТЕРБУРГ ""МОРСКОЙ ФАСАД""","ПАССАЖИРСКИЙ ПОРТ САНКТ-ПЕТЕРБУРГ ""МОРСКОЙ ФАСАД""",,"158, 220","59.948140074805437,30.1964684"
5920,Автобус,Остановка,"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ., 21","БОЛЬШАЯ ПОРОХОВСКАЯ УЛ., 21","Большая Пороховская улица, Среднеохтинский проспект","136, 15, 222, 290","59.953420825048291,30.4169712"
5921,Троллейбус,Остановка,Ул. Солдата Корзуна (оборотная),Ул. Солдата Корзуна (оборотная),"Проспект Ветеранов, Новый мост",29,"59.833044551595798,30.2146091"
5972,Троллейбус,Остановка,Пр. Героев,Пр. Героев,"Ленинский проспект, проспект Героев",32,"59.865083533388002,30.163826"
6028,Троллейбус,Остановка,Пр. Героев,Пр. Героев,"Ленинский проспект, проспект Героев","32, 35, 41, 45, 48","59.864322283564555,30.1658287"
6029,Автобус,Остановка,"УЛ.МОРСКОЙ ПЕХОТЫ,14","УЛ.МОРСКОЙ ПЕХОТЫ,14","Путепровод ""Автово"", улица Морской Пехоты",17,"59.86338612813784,30.2397747"
6030,Автобус,Остановка,"УЛ. МОРСКОЙ ПЕХОТЫ,6","УЛ. МОРСКОЙ ПЕХОТЫ,6","Улица Морской Пехоты, дорога в Угольную гавань",17,"59.862978052141912,30.2497635"
6031,Автобус,Остановка,"УЛ. МОРСКОЙ ПЕХОТЫ,6","УЛ. МОРСКОЙ ПЕХОТЫ,6","Улица Морской Пехоты, дорога в Угольную гавань",17,"59.863235243478989,30.2493401"
6032,Автобус,ДС,"А.С. ""ПР. КУЛЬТУРЫ"" - ПОСАДКИ И ВЫСАДКИ НЕТ","А.С. ""ПР. КУЛЬТУРЫ"" - ПОСАДКИ И ВЫСАДКИ НЕТ","Парнасский путепровод, Придорожная аллея","102, 178, 193, 240, 251, 69, 98","60.051764351880649,30.3814468"
6039,Автобус,Остановка,"УЛ. УШИНСКОГО, УГ. СУЗДАЛЬСКОГО ПР.","УЛ. УШИНСКОГО, УГ. СУЗДАЛЬСКОГО ПР.","Суздальский проспект, улица Ушинского",208,"60.044749751999525,30.4184723"
6040,Автобус,Остановка,СОВМЕЩЕННЫЙ ТРАМВАЙНО-ТРОЛЛЕЙБУСНЫЙ ПАРК,СОВМЕЩЕННЫЙ ТРАМВАЙНО-ТРОЛЛЕЙБУСНЫЙ ПАРК,"Гражданский проспект, Токсовская улица","176, 208, 240, 295","60.039995208941534,30.4239483"
6041,Автобус,Остановка,УЛ. ВЕРЫ СЛУЦКОЙ,УЛ. ВЕРЫ СЛУЦКОЙ,"Пролетарская улица, улица Веры Слуцкой","196, 324, 326, 327, 332, 369, 374, 386, 390, 475, 475А, 540","59.741303063360611,30.5815754"
6042,Автобус,Остановка,СУЗДАЛЬСКИЙ ПРОСПЕКТ,СУЗДАЛЬСКИЙ ПР.,"Суздальский проспект, Светлановский проспект",40,"60.047522350972962,30.4059505"
6048,Автобус,Остановка,АВТОЗАВОДСКАЯ УЛ.,АВТОЗАВОДСКАЯ УЛ.,"Автозаводская улица, Автозаводский проезд",197А,"59.816125799362617,30.4337349"
6558,Автобус,Остановка,ИНСТИТУТСКИЙ ПР.,ИНСТИТУТСКИЙ ПР.,"2-й Муринский проспект, Институтский проспект",294,"60.00079703472705,30.3468971"
6559,Автобус,Остановка,УЛ. ОРБЕЛИ,УЛ. ОРБЕЛИ,"2-й Муринский проспект, улица Орбели",294,"60.001783958665847,30.3400249"
6560,Автобус,Остановка,ПР.ЭНГЕЛЬСА,ПР.ЭНГЕЛЬСА,"2-й Муринский проспект, Светлановская площадь",294,"60.003228434385406,30.3299503"
6563,Автобус,Остановка,СВЕТЛАНОВСКАЯ ПЛОЩАДЬ,СВЕТЛАНОВСКАЯ ПЛОЩАДЬ,"2-й Муринский проспект, Светлановская площадь",294,"60.003129406149235,30.3293285"
6564,Автобус,Остановка,УЛ.ОРБЕЛИ,УЛ.ОРБЕЛИ,"2-й Муринский проспект, улица Орбели",294,"60.001558573786419,30.3407154"
6565,Автобус,Остановка,УЛ. СПИРИНА,УЛ. СПИРИНА,"Улица Освобождения, улица Спирина",144,"59.742407852462925,30.0844154"
6566,Автобус,Остановка,"ГЕОЛОГИЧЕСКАЯ УЛ., УГ. УЛ. СПИРИНА","ГЕОЛОГИЧЕСКАЯ УЛ., УГ. УЛ. СПИРИНА","Улица Спирина, Геологическая улица","144, 145Б, 301","59.747373789834569,30.0837402"
6567,Автобус,Остановка,МАЛИНОВСКАЯ УЛ.,МАЛИНОВСКАЯ УЛ.,"Улица Архитектора Данини, Малиновская улица","252, 299, 342","59.69383150956039,30.4248009"
6568,Автобус,Остановка,"УЛ. АРХИТЕКТОРА ДАНИНИ, УГ. УЛ. ЛОМОНОСОВА","УЛ. АРХИТЕКТОРА ДАНИНИ, УГ. УЛ. ЛОМОНОСОВА","Улица Архитектора Данини, улица Ломоносова","252, 299, 342","59.695365235625445,30.4133949"
6569,Автобус,Остановка,МАЛИНОВСКАЯ УЛ.,МАЛИНОВСКАЯ УЛ.,"Улица Архитектора Данини, Малиновская улица","252, 299","59.693604029600536,30.4251881"
6574,Автобус,Остановка,"""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",Ростовская улица,394,"59.744734329406306,30.4777393"
6575,Автобус,Остановка,ОКУЛОВСКАЯ УЛ.,ОКУЛОВСКАЯ УЛ.,"Вишерская улица, Окуловская улица","190, 281, 385","59.808793274310453,30.3731728"
6576,Автобус,Остановка,УЛ. ОСВОБОЖДЕНИЯ,УЛ. ОСВОБОЖДЕНИЯ,Улица Освобождения,"144, 487","59.745054379390872,30.0746899"
6646,Автобус,Остановка,ГЕОЛОГИЧЕСКАЯ УЛ.,ГЕОЛОГИЧЕСКАЯ УЛ.,"Геологическая улица, улица Спирина",487,"59.747783283267438,30.0806789"
6647,Автобус,Остановка,ГЕОЛОГИЧЕСКАЯ УЛ.,ГЕОЛОГИЧЕСКАЯ УЛ.,Геологическая улица,"149, 487","59.747442612611081,30.0792103"
6648,Автобус,Остановка,"УЛ. ОСВОБОЖДЕНИЯ, 33","УЛ. ОСВОБОЖДЕНИЯ, 33",Улица Освобождения,149,"59.744582906840158,30.0749493"
6649,Автобус,Остановка,ВЕРБНАЯ УЛ. УГОЛ УЛ. МАРШАЛА НОВИКОВА,ВЕРБНАЯ УЛ. УГОЛ УЛ. МАРШАЛА НОВИКОВА,"Вербная улица, улица Маршала Новикова","127, 219, 40","60.024096286193547,30.2748814"
6650,Автобус,Остановка,ВЕРБНАЯ УЛ.,ВЕРБНАЯ УЛ.,"Репищева улица, Вербная улица","122, 127, 134Б, 170, 172, 182, 208, 235, 237","60.022826772008166,30.2809753"
6651,Автобус,Остановка,Ж.-Д. СТ. КРАСНОЕ СЕЛО,Ж.-Д. СТ. КРАСНОЕ СЕЛО,"Улица Первого Мая, Пушкинское шоссе","144, 146, 149, 149А, 273, 442, 443, 446, 454, 458, 458Б, 477, 547","59.730635324068423,30.1028709"
6652,Автобус,Остановка,Ж.-Д. СТ. КРАСНОЕ СЕЛО,Ж.-Д. СТ. КРАСНОЕ СЕЛО,"Улица Первого Мая, Пушкинское шоссе","144, 146, 149, 149А, 273, 442, 443, 446, 454, 458, 458Б, 477, 547","59.730735167029181,30.1032562"
6653,Автобус,Остановка,"ВИШЕРСКАЯ УЛ.,3","ВИШЕРСКАЯ УЛ.,3","Вишерская улица, Школьная улица","190, 281, 385","59.810885011474596,30.3728409"
6654,Автобус,Остановка,БЕЛООСТРОВСКАЯ УЛ.,БЕЛООСТРОВСКАЯ УЛ.,"Кантемировская улица, площадь Академика Климова","185, 249, 275","59.983317798650411,30.3316822"
6655,Автобус,Остановка,БЕЛООСТРОВСКАЯ УЛ.,БЕЛООСТРОВСКАЯ УЛ.,"Кантемировская улица, площадь Академика Климова","185, 249, 275","59.982822356470159,30.3317299"
6656,Автобус,Остановка,ВЫБОРГСКАЯ НАБ.,ВЫБОРГСКАЯ НАБ.,"Кантемировская улица, Красногвардейский переулок","185, 249, 275","59.981476083026976,30.3278732"
6657,Автобус,Остановка,ВЫБОРГСКАЯ НАБ.,ВЫБОРГСКАЯ НАБ.,"Кантемировская улица, Красногвардейский переулок","185, 249, 275","59.981438495926938,30.3285542"
6803,Автобус,Остановка,УЛ. АКАДЕМИКА ПАВЛОВА,УЛ. АКАДЕМИКА ПАВЛОВА,"Проспект Медиков, улица Академика Павлова","185, 249, 275","59.974743894505181,30.3165321"
6838,Автобус,Остановка,БАЛТИЙСКИЙ ЗАВОД,БАЛТИЙСКИЙ ЗАВОД,"Косая линия, Детская улица",152,"59.927532317067104,30.2568703"
6863,Троллейбус,Остановка,Средний пр. В.О.,Средний пр. В.О.,"Наличная улица, Средний проспект В.О.","10, 11","59.931577552490438,30.236824"
6873,Автобус,Остановка,НАБ. МАРТЫНОВА,НАБ. МАРТЫНОВА,"Рюхина улица, Кемская улица",29,"59.973175132118762,30.2581215"
6874,Автобус,Остановка,ПР. ХУДОЖНИКОВ,ПР. ХУДОЖНИКОВ,"Проспект Луначарского, проспект Художников","198, 272, 283","60.040564835198801,30.3461933"
6905,Автобус,Остановка,УЛ. ЕСЕНИНА,УЛ. ЕСЕНИНА,"Проспект Луначарского, улица Есенина","198, 272, 283","60.042795492553992,30.3341541"
6906,Автобус,Остановка,УЛ. ЕСЕНИНА,УЛ. ЕСЕНИНА,"Проспект Луначарского, улица Есенина","198, 272","60.042263422831759,30.3349361"
6907,Автобус,Остановка,"СТ. М. ""ДЕВЯТКИНО""","СТ. М. ""ДЕВЯТКИНО""","Привокзальная площадь, бульвар Менделеева",124,"60.050792558969164,30.4440994"
6930,Автобус,Остановка,"СТ.М""ЛЕНИНСКИЙ ПР""","СТ.М""ЛЕНИНСКИЙ ПР""","Бульвар Новаторов, Ленинский проспект","103, 87","59.852366318863879,30.2693329"
6941,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Проспект Культуры, проспект Луначарского","275, 399","60.035615239362606,30.3658085"
6942,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Проспект Культуры, проспект Луначарского","271, 399","60.036314572534934,30.3677216"
6954,Автобус,Остановка,"ВИНДАВСКАЯ УЛ.,2","ВИНДАВСКАЯ УЛ.,2","Виндавская улица, Двинская улица","22, 290, 43, 70","59.909534967848892,30.2518272"
6955,Автобус,Остановка,КАМЫШОВАЯ УЛ.,КАМЫШОВАЯ УЛ.,"Стародеревенская улица, Камышовая улица",217,"60.005806478954767,30.2475986"
7047,Автобус,Остановка,ШУВАЛОВСКИЙ ПР.,ШУВАЛОВСКИЙ ПР.,"Парашютная улица, Шуваловский проспект","135, 171, 180, 194, 219, 267","60.032551644443942,30.2511158"
7048,Автобус,Остановка,"ПАРАШЮТНАЯ УЛ., 54","ПАРАШЮТНАЯ УЛ., 54",Парашютная улица,"135, 171, 180, 194, 219, 267","60.035615239362606,30.2465782"
7049,Автобус,Остановка,"ПАРАШЮТНАЯ УЛ.,54","ПАРАШЮТНАЯ УЛ.,54",Парашютная улица,"135, 171, 180, 194, 219, 267","60.036584067707643,30.2465916"
7070,Автобус,Остановка,РЕКА КАМЕНКА,РЕКА КАМЕНКА,Парашютная улица,"135, 171, 180, 194, 219, 267","60.041438015657093,30.2408504"
7071,Автобус,Остановка,РЕКА КАМЕНКА,РЕКА КАМЕНКА,Парашютная улица,"135, 194","60.039984976044686,30.2413769"
7072,Автобус,Остановка,ЗООЛОГИЧЕСКИЙ ИНСТИТУТ,ЗООЛОГИЧЕСКИЙ ИНСТИТУТ,Заповедная улица,"135, 171","60.048958008761751,30.2389221"
7073,Автобус,Остановка,ЗООЛОГИЧЕСКИЙ ИНСТИТУТ,ЗООЛОГИЧЕСКИЙ ИНСТИТУТ,"Улица №1, Заповедная улица","135, 171","60.049101230104597,30.2357445"
7074,Автобус,Остановка,УЛ. АКАДЕМИКА ХАРИТОНА,УЛ. АКАДЕМИКА ХАРИТОНА,Улица Академика Харитона,"135, 171","60.047726961598322,30.2438564"
7075,Автобус,ДС,"АО ""ОДК-КЛИМОВ"" ВЫСАДКА - ПОСАДКА","АО ""ОДК-КЛИМОВ"" ВЫСАДКА - ПОСАДКА",Улица Академика Харитона,"135, 171, 38","60.046345815269262,30.2464485"
7076,Автобус,Остановка,УЛ. ТРЕФОЛЕВА,УЛ. ТРЕФОЛЕВА,"Улица Трефолева, улица Калинина",269,"59.894128307606145,30.2508678"
7077,Автобус,Остановка,"ДОЛГООЗЁРНАЯ УЛ., УГОЛ ВЕРБНОЙ УЛ.","ДОЛГООЗЁРНАЯ УЛ., УГОЛ ВЕРБНОЙ УЛ.","Вербная улица, улица Маршала Новикова",219,"60.024277153869328,30.2740898"
7078,Автобус,Остановка,"ПАРАШЮТНАЯ УЛ., УГОЛ ДОЛГООЗЁРНОЙ УЛ.","ПАРАШЮТНАЯ УЛ., УГОЛ ДОЛГООЗЁРНОЙ УЛ.","Парашютная улица, Долгоозёрная улица","135, 171, 184, 194, 267, 9","60.020680090036436,30.2643261"
7079,Автобус,Остановка,ОБОРОННАЯ УЛ.,ОБОРОННАЯ УЛ.,"Улица Трефолева, Оборонная улица",269,"59.892148009529457,30.2558022"
7080,Автобус,Остановка,БАРРИКАДНАЯ УЛ.,БАРРИКАДНАЯ УЛ.,"Улица Трефолева, Баррикадная улица",269,"59.891863631774214,30.2626629"
7081,Автобус,Остановка,УЛ. МАРШАЛА НОВИКОВА,УЛ. МАРШАЛА НОВИКОВА,"Парашютная улица, улица Маршала Новикова","135, 171, 184, 194, 267, 9","60.018488897243898,30.2709446"
7137,Автобус,Остановка,ДОЛГООЗЁРНАЯ УЛ.,ДОЛГООЗЁРНАЯ УЛ.,"Долгоозёрная улица, Парашютная улица",219,"60.021134010567074,30.265173"
7138,Автобус,Остановка,ПОСЁЛОК ПРИЛАДОЖСКИЙ,ПОСЁЛОК ПРИЛАДОЖСКИЙ,,"469А, 475А","59.877885007394895,31.3327141"
7226,Автобус,Остановка,"КИРОВСК, АВТОВОКЗАЛ","КИРОВСК, АВТОВОКЗАЛ","Набережная улица, Новая улица","475, 475А","59.882265311873567,30.9826984"
7227,Автобус,Остановка,"КИРОВСК, АВТОВОКЗАЛ","КИРОВСК, АВТОВОКЗАЛ","Набережная улица, Пионерская улица","475, 475А","59.881823194655382,30.9828987"
7274,Автобус,Остановка,ШКОЛА,ШКОЛА,"Кавалерийская улица, Комендантская улица",415Ш,"60.196394884222372,29.7010708"
7275,Автобус,Остановка,ПАРАШЮТНАЯ УЛ.,ПАРАШЮТНАЯ УЛ.,"Парашютная улица, Долгоозёрная улица","180, 184","60.021134010567074,30.2634373"
7317,Автобус,Остановка,УНИВЕРСАМ,УНИВЕРСАМ,Бухарестская улица,54,"59.862714000300286,30.3890839"
